	Unnamed: 0	chrom	start	end	name	housekeeping	marker Tonsil	ragi
3658	5591	chrX	136497079	136497079	HTATSF1	True	False	0.23235033130462618
3716	5695	chr22	21867645	21867645	MAPK1	True	False	0.14522874080824694
3717	5697	chrX	70133449	70133449	IGBP1	True	False	0.15702942721126384
3718	5698	chr20	32207880	32207880	POFUT1	True	False	0.18169157777968764
3755	5756	chr20	32819954	32819954	MAPRE1	True	False	0.10675097150625176
3760	5762	chr22	23786966	23786966	SMARCB1	True	False	0.2402313037221018
3768	5780	chr20	35278122	35278122	MMP24OS	True	False	0.19285048227116283
3838	5898	chr9	37486153	37486153	POLR1E	True	False	0.2675641581199429
3961	6091	chrX	149505306	149505306	IDS	True	False	0.182341993683243
3989	6140	chr6	33782246	33782246	LEMD2	True	False	0.2797981983646632
4016	6199	chr10	32056425	32056425	KIF5B	True	False	0.1666448272661034
4115	6364	chr14	77098258	77098258	CIPC	True	False	0.18681089495278355
4123	6374	chr22	40404113	40404113	SGSM3	True	False	0.15149822770529126
4157	6440	chr14	51989546	51989546	RTRAF	True	False	0.18600538926213256
4172	6468	chr11	30328036	30328036	ARL14EP	True	False	0.12761580545582135
4185	6494	chr8	30083064	30083064	SARAF	True	False	0.20221216382164153
4197	6515	chr18	47930659	47930659	SMAD2	True	False	0.16487375149488032
4211	6540	chr22	30968774	30968774	MORC2	True	False	0.10233262061985075
4218	6548	chr20	3046052	3046052	MRPS26	True	False	0.14769919151714053
4239	6578	chr20	3204682	3204682	DDRGK1	True	False	0.15523990501252827
4288	6684	chr18	56638592	56638592	TXNL1	True	False	0.10385451267982997
4291	6687	chr5	52787916	52787916	ITGA1	False	True	0.4963117336834681
4293	6692	chr17	27294114	27294114	WSB1	True	False	0.14380235799983496
4302	6705	chr6	37819727	37819727	ZFAND3	True	False	0.08170064978174735
4335	6751	chr11	32583831	32583831	EIF3M	True	False	0.19522668307768143
4358	6783	chr22	42519796	42519796	RRP7A	True	False	0.32423854566765203
4364	6793	chr9	96483025	96483025	HABP4	True	False	0.3177665481248753
4398	6840	chr13	26222314	26222314	RNF6	True	False	0.11639954495137611
4410	6862	chr8	23288108	23288108	R3HCC1	True	False	0.22927593469039076
4413	6869	chr14	100239144	100239144	YY1	True	False	0.05449687027624616
4440	6911	chr9	83686053	83686053	UBQLN1	True	False	0.19004435781833137
4444	6916	chr15	49155599	49155599	COPS2	True	False	0.11635019894955495
4465	6951	chr22	39399780	39399780	TAB1	True	False	0.2801566359233205
4482	6976	chr17	21043011	21043011	USP22	True	False	0.1082187767264072
4485	6980	chr5	55307989	55307989	MTREX	True	False	0.1857624869691896
4490	6988	chr22	39502290	39502290	MIEF1	True	False	0.21645724770428534
4496	6997	chr10	45000923	45000923	ZNF22	True	False	0.061660870107640174
4499	7000	chr19	3185930	3185930	NCLN	True	False	0.08557513474129501
4500	7001	chr10	80205572	80205572	ANXA11	True	False	0.14113273648518612
4513	7024	chr22	39532093	39532093	RPS19BP1	True	False	0.18354310913108832
4520	7035	chr5	83077394	83077394	TMEM167A	True	False	0.15961367293001857
4555	7085	chr13	76990660	76990660	CLN5	True	False	0.12035780361135841
4558	7098	chr8	65634177	65634177	ARMC1	True	False	0.09546223933944507
4568	7116	chr22	17628749	17628749	ATP6V1E1	True	False	0.12839622256682523
4572	7126	chr13	77027159	77027159	FBXL3	True	False	0.21357858672883942
4574	7128	chr15	58933679	58933679	SLTM	True	False	0.06800148443108996
4602	7175	chrX	155216460	155216460	VBP1	True	False	0.1950049637957173
4607	7181	chr20	18137863	18137863	PET117	True	False	0.13474007720207867
4610	7186	chr13	27251583	27251583	RPL21	True	False	0.1043799376275589
4646	7249	chr14	90256553	90256553	PSMC1	True	False	0.17428350489706218
4660	7268	chr15	49046446	49046446	SECISBP2L	True	False	0.11872600515583641
4687	7319	chr19	3314403	3314403	NFIC	True	False	0.8
4701	7352	chr5	32594923	32594923	SUB1	True	False	0.18272916689064975
4705	7360	chr11	43311996	43311996	API5	True	False	0.23217059606594884
4713	7371	chr17	18183828	18183828	ALKBH5	True	False	0.09226489428881071
4739	7407	chr13	75538802	75538802	COMMD6	True	False	0.061497488602287056
4751	7421	chr6	36443000	36443000	KCTD20	True	False	0.12483835951399033
4752	7422	chr9	93126190	93126190	NINJ1	True	False	0.13271520436207246
4756	7431	chr20	45934683	45934683	PCIF1	True	False	0.034585837075040725
4771	7458	chr13	52450622	52450622	VPS36	True	False	0.1487863352811896
4809	7506	chr20	1393123	1393123	FKBP1A	True	False	0.1641329591265117
4826	7534	chr14	95535274	95535274	GLRX5	True	False	0.1438498911933431
4835	7552	chr6	33698657	33698657	UQCC2	True	False	0.11396705426995932
4839	7558	chr18	68715108	68715108	TMX3	True	False	0.14110213132608945
4847	7573	chr10	42782795	42782795	BMS1	True	False	0.11382519738507801
4850	7582	chr13	52652836	52652836	SUGT1	True	False	0.11994209820445133
4903	7672	chr14	92794305	92794305	GOLGA5	True	False	0.08584630698813694
5037	7835	chr6	36547479	36547479	STK38	True	False	0.23110785437091186
5113	7942	chr19	4247080	4247080	YJU2	True	False	0.21348872803648228
5119	7949	chr13	27621875	27621875	POLR1D	True	False	0.1729989172950073
5142	7996	chrX	47650563	47650563	ELK1	True	False	0.12912062595611873
5159	8019	chr19	5664726	5664726	SAFB	True	False	0.7178017015559836
5180	8050	chr6	37257772	37257772	TBC1D22B	True	False	0.10190342045330762
5187	8060	chr10	91798426	91798426	TNKS2	True	False	0.14934438756634227
5205	8084	chr21	44315527	44315527	PFKL	True	False	0.2943801643832581
5211	8093	chr20	33811348	33811348	CHMP4B	True	False	0.18099727039438188
5257	8167	chr22	41282514	41282514	RANGAP1	True	False	0.20130118227376076
5283	8209	chr9	107283279	107283279	RAD23B	True	False	0.1361911050651806
5292	8225	chr19	5622776	5622776	SAFB2	True	False	0.16650223111744403
5364	8330	chr21	44775436	44775436	UBE2G2	True	False	0.7454111797620191
5382	8364	chr6	44387706	44387706	CDC5L	True	False	0.15054261447036543
5383	8366	chr20	5127008	5127008	CDS2	True	False	0.15913768789772573
5389	8376	chr21	44873690	44873690	PTTG1IP	True	False	0.1968011153968669
5393	8380	chr18	36129340	36129340	SLC39A6	True	False	0.11816669714920276
5409	8405	chr19	4969113	4969113	KDM4B	True	False	0.28712778605537487
5443	8454	chr17	30116816	30116816	NSRP1	True	False	0.07193683508592866
5479	8523	chrX	154444155	154444155	FAM50A	True	False	0.20648162846559817
5484	8530	chr20	32743445	32743445	COMMD7	True	False	0.05893690095015023
5517	8584	chr14	99493970	99493970	CCNK	True	False	0.36812402609794576
5524	8592	chr20	59008238	59008238	CTSZ	True	False	0.1791240217883638
5532	8615	chrX	154486615	154486615	UBL4A	True	False	0.06991319610641335
5556	8654	chr14	99480859	99480859	SETD3	True	False	0.12343644333297529
5572	8684	chr20	41028914	41028914	TOP1	True	False	0.20301585716748363
5598	8718	chr9	97633821	97633821	NCBP1	True	False	0.12743060381811488
5609	8733	chr22	41446801	41446801	TOB2	True	False	0.08004259740108824
5611	8738	chr13	21176658	21176658	MRPL57	True	False	0.2107858545190172
5612	8740	chr22	41468692	41468692	PHF5A	True	False	0.14036107522972313
5638	8775	chr4	7068064	7068064	GRPEL1	True	False	0.14660841255019907
5651	8789	chr21	41442169	41442169	MX1	False	True	0.5000343839732297
5658	8803	chr15	73634134	73634134	NPTN	True	False	0.2632897077894449
5667	8826	chr4	24539150	24539150	DHX15	True	False	0.3921136093048648
5668	8827	chr22	41580689	41580689	PMM1	True	False	0.12399726951726589
5679	8848	chr13	37000780	37000780	EXOSC8	True	False	0.13075740006030648
5689	8864	chr22	41621043	41621043	DESI1	True	False	0.07591899388753293
5711	8897	chr9	33025273	33025273	DNAJA1	True	False	0.11737437979057397
5712	8898	chr20	35699272	35699272	ROMO1	True	False	0.11009732581898488
5748	8964	chr21	25735673	25735673	ATP5PF	True	False	0.1282101664174285
5751	8972	chr19	1988569	1988569	BTBD2	True	False	0.5646592882240818
5758	8986	chr13	113304932	113304932	LAMP1	True	False	0.20791036094998208
5805	9060	chr5	32174319	32174319	GOLPH3	True	False	0.188079895879319
5807	9064	chr15	68277745	68277745	FEM1B	True	False	0.12522010762708105
5841	9110	chr13	113584753	113584753	TFDP1	True	False	0.17311497868616693
5843	9112	chr5	57173948	57173948	GPBP1	True	False	0.11941261341730117
5946	9296	chr9	7799778	7799778	DMAC1	True	False	0.2494289567094642
5961	9327	chr2	264869	264869	ACP1	True	False	0.10895188884148803
5962	9328	chr13	77327094	77327094	MYCBP2	True	False	0.10211065074301379
6017	9403	chr14	55675050	55675050	KTN1	True	False	0.47728064956995997
6018	9404	chr6	34426067	34426067	RPS10	True	False	0.19653686674362716
6034	9423	chr13	19633659	19633659	MPHOSPH8	True	False	0.18411393638330895
6064	9475	chr6	106086336	106086336	PRDM1	False	True	0.09349071799187081
6068	9482	chr19	1021179	1021179	TMEM259	True	False	0.12603734231032318
6072	9488	chr11	59615774	59615774	OSBP	True	False	0.21652892371286656
6150	9622	chr5	86617956	86617956	COX7C	True	False	0.20232150019875814
6168	9652	chr22	19953787	19953787	COMT	True	False	0.19497692518344514
6178	9668	chr9	135961373	135961373	UBAC1	True	False	0.48010318783773137
6183	9682	chr15	74938073	74938073	COX5A	True	False	0.11834918947101085
6185	9684	chr10	104254194	104254194	GSTO1	True	False	0.3230409746678799
6194	9703	chr19	3762682	3762682	MRPL54	True	False	0.14985010051844874
6199	9708	chr8	97644184	97644184	MTDH	True	False	0.1206631017075156
6206	9716	chr10	100286378	100286378	BLOC1S2	True	False	0.12669418557572265
6245	9784	chr11	58579063	58579063	ZFP91	True	False	0.06859362779870674
6260	9811	chr19	4670342	4670342	MYDGF	True	False	0.419824424335114
6262	9816	chr6	36594362	36594362	SRSF3	True	False	0.12196805157443052
6268	9822	chr2	3517747	3517747	ADI1	True	False	0.2418185925955336
6332	9940	chr19	10403542	10403542	CDC37	True	False	0.09527221841308342
6360	9986	chr13	102597005	102597005	TPP2	True	False	0.08135007125294551
6364	9992	chr10	91220663	91220663	PCGF5	True	False	0.1366971434436217
6386	10023	chr19	14419337	14419337	DDX39A	True	False	0.18262267343375005
6409	10071	chr22	20124139	20124139	RANBP1	True	False	0.1371542594537664
6423	10092	chr8	80030259	80030259	MRPS28	True	False	0.12542288936167834
6429	10100	chr21	31659709	31659709	SOD1	True	False	0.14756860104273098
6461	10146	chr15	74461102	74461102	UBL7	True	False	0.05115575561119334
6473	10163	chr3	32570693	32570693	DYNC1LI1	True	False	0.13668793045603037
6524	10229	chrX	77899468	77899468	COX7B	True	False	0.17697027984365005
6575	10293	chr8	101205287	101205287	ZNF706	True	False	0.17939597992464384
6615	10342	chr20	45791954	45791954	DNTTIP1	True	False	0.19503433544931875
6619	10346	chr2	3575358	3575358	RPS7	True	False	0.04482776793165909
6628	10357	chr14	22589224	22589224	DAD1	True	False	0.14554287423890658
6639	10376	chr8	100952983	100952983	YWHAZ	True	False	0.12029071361023085
6669	10423	chr11	46700619	46700619	ARHGAP1	True	False	0.3067154188196054
6702	10472	chr15	68792248	68792248	ANP32A	True	False	0.19683839462963582
6713	10487	chr9	124861936	124861936	RPL35	True	False	0.1310486067249107
6719	10497	chr10	101626899	101626899	FBXW4	True	False	0.20321726732740014
6727	10516	chr9	134068026	134068026	BRD3	True	False	0.2653054015162359
6745	10543	chr11	59669037	59669037	PATL1	True	False	0.12167078761427176
6749	10547	chr10	124942123	124942123	ZRANB1	True	False	0.4207131925182315
6772	10592	chr12	10307870	10307870	KLRD1	False	True	0.3695155084879112
6795	10623	chr9	109119947	109119947	TMEM245	True	False	0.19531165935688696
6799	10629	chr13	25301524	25301524	NUP58	True	False	0.0790959165755306
6800	10630	chr20	49188334	49188334	STAU1	True	False	0.1907302262512445
6805	10638	chr6	44247866	44247866	HSP90AB1	True	False	0.14226298051586708
6814	10658	chr8	98045548	98045548	RPL30	True	False	0.23188585734645642
6826	10674	chr9	86282538	86282538	ISCA1	True	False	0.14315969030548217
6871	10763	chr10	119080817	119080817	EIF3A	True	False	0.10949946867795085
6876	10772	chr17	39992998	39992998	PSMD3	True	False	0.5435612125809797
6929	10851	chr13	21140119	21140119	SAP18	True	False	0.17750675567110905
6960	10914	chr20	62796473	62796473	MRGBP	True	False	0.18846233480197533
6968	10925	chr15	74695936	74695936	EDC3	True	False	0.27035275307335016
6970	10929	chr20	62805886	62805886	OGFR	True	False	0.12716265130056087
7036	11032	chr10	97426191	97426191	PGAM1	True	False	0.14659654861573737
7042	11046	chrX	153724066	153724066	BCAP31	True	False	0.14694417372726262
7173	11220	chr8	100150625	100150625	POLR2K	True	False	0.18016654960038445
7196	11250	chr6	70667883	70667883	SMAP1	True	False	0.10068615906150258
7201	11255	chr19	16078852	16078852	TPM4	True	False	0.1591366412469395
7209	11265	chr22	20320060	20320060	DGCR6L	True	False	0.29897459247705754
7218	11288	chr2	26244672	26244672	HADHA	True	False	0.14803875290761606
7272	11377	chr18	47176364	47176364	IER3IP1	True	False	0.38441135943718535
7292	11414	chrX	153794659	153794659	SSR4	True	False	0.16624614813258334
7310	11453	chr20	3786740	3786740	CENPB	True	False	0.0772035551199276
7339	11496	chr17	19977828	19977828	AKAP10	True	False	0.2768728975953622
7342	11504	chr11	62573860	62573860	EEF1G	True	False	0.21824395497668858
7359	11529	chr14	23034890	23034890	PSMB5	True	False	0.250640048397326
7368	11545	chr14	23095505	23095505	C14orf119	True	False	0.041036533558899975
7387	11578	chr3	13073429	13073429	IQSEC1	True	False	0.0851354169167465
7404	11610	chr8	96235545	96235545	UQCRB	True	False	0.19432682788056455
7412	11624	chr6	117675469	117675469	NUS1	True	False	0.14992427624720103
7420	11636	chr4	39977911	39977911	PDS5A	True	False	0.16622718072995502
7427	11649	chr13	114234897	114234897	CDC16	True	False	0.15018696532534362
7451	11687	chr17	38853764	38853764	RPL23	True	False	0.12669533968415223
7476	11732	chr3	14178817	14178817	LSM3	True	False	0.07741875366628098
7480	11736	chr1	8871576	8871576	ENO1	True	False	0.11449378896026191
7483	11740	chr10	118754970	118754970	CACUL1	True	False	0.2778935428449828
7493	11756	chr20	36236464	36236464	AAR2	True	False	0.1443689272650552
7504	11773	chrX	153971818	153971818	HCFC1	True	False	0.08967718701687667
7546	11837	chr11	60906585	60906585	PRPF19	True	False	0.19900961268713044
7552	11848	chr20	443257	443257	TBC1D20	True	False	0.1182641550187577
7564	11867	chr3	36993131	36993131	EPM2AIP1	True	False	0.10993210560574596
7610	11930	chrX	101391011	101391011	RPL36A	True	False	0.1558907274126027
7613	11936	chr6	89352722	89352722	UBE2J1	True	False	0.07166271605591054
7623	11950	chrX	101408222	101408222	HNRNPH2	True	False	0.06381787394814685
7632	11959	chr20	543790	543790	CSNK2A1	True	False	0.2692599148635848
7642	11988	chr11	46846280	46846280	CKAP5	True	False	0.2511619563445027
7696	12069	chrX	71073426	71073426	SNX12	True	False	0.16027055883604807
7701	12074	chr17	39730494	39730494	MIEN1	True	False	0.2150366668657557
7720	12107	chr10	123008687	123008687	IKZF5	True	False	0.1430057689265418
7747	12149	chr10	125823546	125823546	BCCIP	True	False	0.17804381507767705
7779	12208	chrX	107628510	107628510	PRPS1	True	False	0.20193419327677528
7849	12320	chr21	33543038	33543038	SON	True	False	0.10808175581918793
7856	12329	chr17	40121971	40121971	MSL1	True	False	0.07219911298512813
7898	12394	chr14	93115925	93115925	ITPK1	True	False	0.10337901250235865
7908	12407	chrX	136880722	136880722	RBMX	True	False	0.13244862900743298
7921	12427	chr11	59810778	59810778	MRPL16	True	False	0.22380047793759347
7945	12464	chrX	103688158	103688158	MORF4L2	True	False	0.1859215283868255
7961	12489	chr14	93184923	93184923	MOAP1	True	False	0.06910375046845764
7966	12497	chr14	93185317	93185317	TMEM251	True	False	0.06791878616797238
7983	12524	chr17	40565472	40565472	CCR7	False	True	0.09654985727675808
7995	12544	chr1	16352480	16352480	FBXO42	True	False	0.1420363148211324
7999	12549	chr14	77708103	77708103	SLIRP	True	False	0.2038109296476649
8021	12594	chr20	48921711	48921711	ARFGEF2	True	False	0.12474587165091935
8023	12597	chr1	8817465	8817465	RERE	True	False	0.2097079831993187
8034	12618	chr14	50668306	50668306	SAV1	True	False	0.17197808245593052
8048	12645	chr21	37229483	37229483	VPS26C	True	False	0.20221523565984273
8051	12649	chrX	49235470	49235470	CCDC22	True	False	0.09991315751775526
8060	12660	chr22	19447711	19447711	C22orf39	True	False	0.2345134945128719
8073	12692	chr17	38869859	38869859	LASP1	True	False	0.1247138350818713
8077	12700	chr14	74881916	74881916	DLST	True	False	0.1958595695287431
8083	12707	chr22	41833164	41833164	SREBF2	True	False	0.10399932092673629
8089	12719	chr19	16185410	16185410	FAM32A	True	False	0.23071827305935405
8145	12818	chr1	2391841	2391841	RER1	True	False	0.18253315119947308
8166	12867	chr17	31859291	31859291	COPRS	True	False	0.3593595406690227
8233	12980	chr11	86069084	86069084	PICALM	True	False	0.06702939644707752
8250	13003	chr20	56515694	56515694	RTF2	True	False	0.25065852916375075
8273	13048	chr14	75176612	75176612	TMED10	True	False	0.11989558689704438
8356	13159	chr10	128126423	128126423	MKI67	False	True	0.2235265284853208
8387	13203	chr9	33264708	33264708	BAG1	True	False	0.14814722823383325
8393	13211	chr8	54135241	54135241	MRPL15	True	False	0.1798027979635879
8410	13243	chr12	15882387	15882387	STRAP	True	False	0.04734830790808042
8411	13244	chr10	96586594	96586594	TM9SF3	True	False	0.17205019790041953
8413	13247	chrX	41339943	41339943	DDX3X	True	False	0.2408911538998156
8432	13277	chr6	125956770	125956770	HINT3	True	False	0.10545205670621759
8449	13303	chr9	33264879	33264879	CHMP5	True	False	0.14957955658672825
8477	13347	chr3	44861904	44861904	TMEM42	True	False	0.13439119317740839
8538	13426	chr12	53079390	53079390	SPRYD3	True	False	0.25887224712764334
8702	13688	chr20	35959472	35959472	SCAND1	True	False	0.12885440710240356
8731	13736	chr8	58553254	58553254	SDCBP	True	False	0.09056162314848276
8775	13807	chr14	74493281	74493281	NPC2	True	False	0.12670389459529488
8793	13831	chr20	49219347	49219347	DDX27	True	False	0.15232916092697835
8794	13832	chr3	50229065	50229065	GNAI2	True	False	0.13519169077546792
8877	13968	chr19	16572415	16572415	SLC35E1	True	False	0.18523668829541057
8882	13976	chr4	39698136	39698136	UBE2K	True	False	0.14888162899152185
8911	14019	chr3	33398438	33398438	UBP1	True	False	0.4192211529539729
8945	14074	chr1	6235964	6235964	ICMT	True	False	0.35633214752619585
8953	14089	chr22	37953699	37953699	POLR2F	True	False	0.132066669000962
9019	14211	chr5	133968625	133968625	C5orf15	True	False	0.1480404225015814
9022	14215	chr2	42369010	42369010	COX7A2L	True	False	0.13915252012738516
9024	14218	chr3	50359521	50359521	TMEM115	True	False	0.19189194988195069
9049	14253	chr1	28236154	28236154	ATP5IF1	True	False	0.11797002671930068
9062	14274	chr17	50719603	50719603	LUC7L3	True	False	0.1408593943636234
9087	14318	chr1	28233029	28233029	DNAJC8	True	False	0.16344382709449842
9094	14326	chr20	50957153	50957153	DPM1	True	False	0.18205245499079656
9136	14396	chr17	6756046	6756046	XAF1	False	True	0.09722204448257264
9153	14418	chr4	82358842	82358842	HNRNPD	True	False	0.16999622804929176
9166	14438	chr3	19947097	19947097	RAB5A	True	False	0.08530880074810437
9175	14456	chr17	40140537	40140537	CASC3	True	False	0.09002745770614144
9208	14518	chr9	128330412	128330412	COQ4	True	False	0.3033049257463315
9218	14535	chr5	43557077	43557077	PAIP1	True	False	0.19736101533096323
9220	14538	chr19	17309563	17309563	DDA1	True	False	0.24395366893478934
9226	14548	chr2	38377273	38377273	ATL2	True	False	0.12501300360331738
9250	14594	chr9	128371361	128371361	URM1	True	False	0.25773325925411433
9264	14615	chr20	46089962	46089962	NCOA5	True	False	0.17025243811415913
9265	14616	chr12	46372773	46372773	SLC38A2	True	False	0.07771836179687658
9328	14724	chr17	50707914	50707914	ANKRD40	True	False	0.20096176203926777
