	Unnamed: 0	chrom	start	end	name	housekeeping	marker Umbilical cord blood	ragi
2951	4465	chr14	34462240	34462240	SPTSSA	True	False	0.35280280334108294
2958	4481	chr8	20197403	20197403	ATP6V1B2	True	False	0.27303641186811595
2969	4499	chr13	45341284	45341284	TPT1	True	False	0.12162164394277332
2980	4521	chr20	44522070	44522070	SERINC3	True	False	0.17408590204595792
2992	4552	chr6	12012312	12012312	HIVEP1	False	True	0.24460571717458157
2997	4567	chr22	43015149	43015149	PACSIN2	True	False	0.32519008752826634
3003	4576	chr13	46797420	46797420	ESD	True	False	0.34582006076365374
3011	4597	chr6	13487600	13487600	GFOD1	False	True	0.28647949873789635
3035	4631	chr6	15246069	15246069	JARID2	False	True	0.2636926639205694
3057	4662	chr20	44210771	44210771	OSER1	True	False	0.2060683483294094
3065	4676	chr14	74493765	74493765	ISCA2	True	False	0.2871531189041068
3071	4683	chr20	43457896	43457896	SRSF6	True	False	0.320845941248777
3089	4723	chrX	108091542	108091542	PSMD10	True	False	0.08504789293739506
3095	4729	chr20	43667019	43667019	MYBL2	False	True	0.5734720548095779
3103	4740	chr21	42893309	42893309	NDUFV3	True	False	0.13805195237888843
3163	4816	chr13	98577107	98577107	STK24	True	False	0.18552602636784007
3189	4865	chr22	32412247	32412247	RTCB	True	False	0.35796339962716556
3206	4888	chr20	18587942	18587942	DTD1	True	False	0.3422957173943081
3234	4931	chr9	37427706	37427706	GRHPR	True	False	0.24663792663316395
3251	4966	chr8	26383054	26383054	BNIP3L	True	False	0.15530363514748458
3279	5012	chr6	21593751	21593751	SOX4	False	True	0.06999385946309467
3289	5027	chrX	72276227	72276227	RPS4X	True	False	0.43061887535031723
3308	5052	chr10	22003730	22003730	DNAJC1	True	False	0.23348587716979313
3319	5070	chr6	29941260	29941260	HLA-A	True	False	0.21272451638949733
3348	5113	chr10	50624943	50624943	SGMS1-AS1	False	True	0.10484435324943767
3349	5114	chr15	33194714	33194714	FMN1	False	True	0.38973869930115584
3369	5149	chr8	19817416	19817416	INTS10	True	False	0.22391883746986804
3448	5270	chr20	63272833	63272833	ARFGAP1	False	True	0.15800541064908938
3475	5316	chr8	30156369	30156369	DCTN6	True	False	0.18107504965911483
3483	5327	chr17	4263979	4263979	ANKFY1	True	False	0.410008913096676
3497	5349	chr5	44815219	44815219	MRPS30	True	False	0.19662968497188799
3512	5372	chr11	1302790	1302790	TOLLIP	True	False	0.19924883966033807
3515	5377	chr18	9475513	9475513	RALBP1	True	False	0.3879868411373042
3528	5394	chr18	26090613	26090613	SS18	True	False	0.1413185576824998
3537	5404	chr22	24555999	24555999	SNRPD3	True	False	0.2212650751072123
3545	5415	chr5	27038586	27038586	CDH9	False	True	0.8
3548	5420	chr8	23457647	23457647	ENTPD4	True	False	0.3540032204271251
3551	5424	chr17	1456232	1456232	CRK	True	False	0.21301556465817692
3640	5566	chr20	63520765	63520765	PPDPF	True	False	0.5280254415493462
3713	5692	chr20	32207743	32207743	PLAGL2	False	True	0.39704727200400913
3716	5695	chr22	21867645	21867645	MAPK1	True	False	0.2580756562771457
3717	5697	chrX	70133449	70133449	IGBP1	True	False	0.40650848145342205
3718	5698	chr20	32207880	32207880	POFUT1	True	False	0.3974426501422495
3755	5756	chr20	32819954	32819954	MAPRE1	True	False	0.40082474643535065
3760	5762	chr22	23786966	23786966	SMARCB1	True	False	0.4707355369229193
3768	5780	chr20	35278122	35278122	MMP24OS	True	False	0.24744110293596774
3838	5898	chr9	37486153	37486153	POLR1E	True	False	0.39838496055635775
3856	5933	chr18	43277490	43277490	SYT4	False	True	0.8000000000000002
3961	6091	chrX	149505306	149505306	IDS	True	False	0.2724710637211654
3978	6126	chr10	52411135	52411135	THAP12P3	False	True	0.6785178328581567
3989	6140	chr6	33782246	33782246	LEMD2	True	False	0.3724606615710453
4016	6199	chr10	32056425	32056425	KIF5B	True	False	0.1652497547556717
4029	6217	chr19	288537	288537	PLPP2	False	True	0.7999999999999999
4045	6245	chr6	4776404	4776404	CDYL	False	True	0.2715940276404969
4093	6324	chr19	1039997	1039997	ABCA7	False	True	0.2420203730076686
4115	6364	chr14	77098258	77098258	CIPC	True	False	0.11618079527067796
4120	6370	chr22	40107066	40107066	RPL7P52	False	True	0.32461313976948125
4123	6374	chr22	40404113	40404113	SGSM3	True	False	0.3512557954298452
4151	6429	chr13	52024691	52024691	UTP14C	False	True	0.6373574407267509
4157	6440	chr14	51989546	51989546	RTRAF	True	False	0.11930365557847528
4172	6468	chr11	30328036	30328036	ARL14EP	True	False	0.14443256089143097
4185	6494	chr8	30083064	30083064	SARAF	True	False	0.19718129074786128
4197	6515	chr18	47930659	47930659	SMAD2	True	False	0.14806541476227067
4211	6540	chr22	30968774	30968774	MORC2	True	False	0.26825116238561136
4218	6548	chr20	3046052	3046052	MRPS26	True	False	0.22978102880784249
4239	6578	chr20	3204682	3204682	DDRGK1	True	False	0.32990912866078587
4264	6626	chr21	42756775	42756775	PDE9A	False	True	0.6107114461232301
4288	6684	chr18	56638592	56638592	TXNL1	True	False	0.36617403405396104
4293	6692	chr17	27294114	27294114	WSB1	True	False	0.07792051036831164
4302	6705	chr6	37819727	37819727	ZFAND3	True	False	0.30063537596848966
4314	6723	chr13	51454164	51454164	RPS4XP16	False	True	0.23655520154574197
4335	6751	chr11	32583831	32583831	EIF3M	True	False	0.15084551865142004
4358	6783	chr22	42519796	42519796	RRP7A	True	False	0.42699690534082624
4364	6793	chr9	96483025	96483025	HABP4	True	False	0.6219936456322346
4368	6798	chr13	108269629	108269629	TNFSF13B	False	True	0.20376928798554036
4398	6840	chr13	26222314	26222314	RNF6	True	False	0.2884328158099023
4410	6862	chr8	23288108	23288108	R3HCC1	True	False	0.30481615010631663
4413	6869	chr14	100239144	100239144	YY1	True	False	0.1414206240360578
4426	6891	chr14	90331941	90331941	NRDE2	False	True	0.37353692696264906
4440	6911	chr9	83686053	83686053	UBQLN1	True	False	0.5731148634091575
4444	6916	chr15	49155599	49155599	COPS2	True	False	0.3392369302678812
4454	6934	chr14	99604207	99604207	CCDC85C	False	True	0.3939506494574116
4465	6951	chr22	39399780	39399780	TAB1	True	False	0.46227259121218955
4481	6974	chr14	102232725	102232725	MOK	False	True	0.7338232065119891
4482	6976	chr17	21043011	21043011	USP22	True	False	0.2860939267144087
4485	6980	chr5	55307989	55307989	MTREX	True	False	0.3160624164439362
4490	6988	chr22	39502290	39502290	MIEF1	True	False	0.148017363538493
4496	6997	chr10	45000923	45000923	ZNF22	True	False	0.1953381574724308
4499	7000	chr19	3185930	3185930	NCLN	True	False	0.23334347877655104
4500	7001	chr10	80205572	80205572	ANXA11	True	False	0.1587062409298574
4513	7024	chr22	39532093	39532093	RPS19BP1	True	False	0.2358279984565872
4520	7035	chr5	83077394	83077394	TMEM167A	True	False	0.17249547482680655
4555	7085	chr13	76990660	76990660	CLN5	True	False	0.22926801731880805
4558	7098	chr8	65634177	65634177	ARMC1	True	False	0.2875940040229805
4568	7116	chr22	17628749	17628749	ATP6V1E1	True	False	0.19394615856523728
4572	7126	chr13	77027159	77027159	FBXL3	True	False	0.18556002483970646
4574	7128	chr15	58933679	58933679	SLTM	True	False	0.07238437644427118
4585	7144	chr13	112754693	112754693	ATP11A-AS1	False	True	0.8
4602	7175	chrX	155216460	155216460	VBP1	True	False	0.2303958092298266
4607	7181	chr20	18137863	18137863	PET117	True	False	0.25220497844480927
4610	7186	chr13	27251583	27251583	RPL21	True	False	0.18090248743091092
4623	7205	chr6	11382314	11382314	NEDD9	False	True	0.293487248900598
4630	7219	chr8	81112068	81112068	PAG1	False	True	0.26957826941008156
4646	7249	chr14	90256553	90256553	PSMC1	True	False	0.45230916803032256
4660	7268	chr15	49046446	49046446	SECISBP2L	True	False	0.17501754886522078
4667	7282	chr19	3480525	3480525	SMIM24	False	True	0.44903135921513265
4672	7289	chr13	87672615	87672615	SLITRK5	False	True	0.15597708972219443
4687	7319	chr19	3314403	3314403	NFIC	True	False	
4701	7352	chr5	32594923	32594923	SUB1	True	False	0.3274396308892912
4705	7360	chr11	43311996	43311996	API5	True	False	0.14926864199455106
4713	7371	chr17	18183828	18183828	ALKBH5	True	False	0.12808024926437844
4739	7407	chr13	75538802	75538802	COMMD6	True	False	0.20935711886394864
4751	7421	chr6	36443000	36443000	KCTD20	True	False	0.3328650544083765
4752	7422	chr9	93126190	93126190	NINJ1	True	False	0.07586994148146207
4756	7431	chr20	45934683	45934683	PCIF1	True	False	0.17837472708466523
4767	7451	chr9	96418370	96418370	ZNF367	False	True	0.2285892962755335
4771	7458	chr13	52450622	52450622	VPS36	True	False	0.2319216678404116
4778	7466	chr10	92669743	92669743	EIF2S2P3	False	True	0.7999999999999998
4784	7473	chr5	35938779	35938779	CAPSL	False	True	0.5347753356992011
4801	7494	chr20	46008908	46008908	MMP9	False	True	0.3119798854715434
4809	7506	chr20	1393123	1393123	FKBP1A	True	False	0.22756638209737984
4826	7534	chr14	95535274	95535274	GLRX5	True	False	0.19399374939964495
4835	7552	chr6	33698657	33698657	UQCC2	True	False	0.23797072816464104
4839	7558	chr18	68715108	68715108	TMX3	True	False	0.2251240623521653
4847	7573	chr10	42782795	42782795	BMS1	True	False	0.32534794651708077
4850	7582	chr13	52652836	52652836	SUGT1	True	False	0.23925013418189445
4903	7672	chr14	92794305	92794305	GOLGA5	True	False	0.11491272413712617
5037	7835	chr6	36547479	36547479	STK38	True	False	0.11809971985118092
5113	7942	chr19	4247080	4247080	YJU2	True	False	0.217862220773177
5119	7949	chr13	27621875	27621875	POLR1D	True	False	0.20410794178217256
5140	7991	chr11	13962723	13962723	SPON1	False	True	0.37224525289936056
5159	8019	chr19	5664726	5664726	SAFB	True	False	0.6308988076898493
5180	8050	chr6	37257772	37257772	TBC1D22B	True	False	0.3220346298825251
5187	8060	chr10	91798426	91798426	TNKS2	True	False	0.15926007327185587
5205	8084	chr21	44315527	44315527	PFKL	True	False	0.350698788652851
5211	8093	chr20	33811348	33811348	CHMP4B	True	False	0.4350006588225104
5229	8126	chr17	21253410	21253410	NATD1	False	True	0.18417144423079326
5257	8167	chr22	41282514	41282514	RANGAP1	True	False	0.1686839804204711
5270	8192	chr9	70043848	70043848	MAMDC2	False	True	0.7614998883895534
5283	8209	chr9	107283279	107283279	RAD23B	True	False	0.29675677622444313
5292	8225	chr19	5622776	5622776	SAFB2	True	False	0.20643308683461306
5331	8294	chr6	70957060	70957060	B3GAT2	False	True	0.3661101401468035
5364	8330	chr21	44775436	44775436	UBE2G2	True	False	0.6304021415714477
5382	8364	chr6	44387706	44387706	CDC5L	True	False	0.044167911264575234
5383	8366	chr20	5127008	5127008	CDS2	True	False	0.25160485272187527
5389	8376	chr21	44873690	44873690	PTTG1IP	True	False	0.1783041913959833
5393	8380	chr18	36129340	36129340	SLC39A6	True	False	0.18058463666031466
5406	8400	chr22	49923210	49923210	CRELD2	False	True	0.4174194674590579
5409	8405	chr19	4969113	4969113	KDM4B	True	False	0.1879572508034975
5443	8454	chr17	30116816	30116816	NSRP1	True	False	0.40437908497387115
5479	8523	chrX	154444155	154444155	FAM50A	True	False	0.3851600200090681
5484	8530	chr20	32743445	32743445	COMMD7	True	False	0.44410932688903954
5517	8584	chr14	99493970	99493970	CCNK	True	False	0.7999999999999998
5524	8592	chr20	59008238	59008238	CTSZ	True	False	0.11930528767503863
5526	8596	chr6	63319983	63319983	LGSN	False	True	0.8000000000000003
5532	8615	chrX	154486615	154486615	UBL4A	True	False	0.3886897727885383
5556	8654	chr14	99480859	99480859	SETD3	True	False	0.2114968139485211
5572	8684	chr20	41028914	41028914	TOP1	True	False	0.18303987786447212
5595	8714	chr13	21176552	21176552	SKA3	False	True	0.35295625240710143
5598	8718	chr9	97633821	97633821	NCBP1	True	False	0.16489063709548848
5609	8733	chr22	41446801	41446801	TOB2	True	False	0.10591484798832444
5611	8738	chr13	21176658	21176658	MRPL57	True	False	0.35358298664305615
5612	8740	chr22	41468692	41468692	PHF5A	True	False	0.38844012083141016
5638	8775	chr4	7068064	7068064	GRPEL1	True	False	0.30778661856804584
5652	8790	chr19	6887579	6887579	ADGRE1	False	True	0.347198021357688
5658	8803	chr15	73634134	73634134	NPTN	True	False	0.41918425027371836
5661	8810	chr9	73157654	73157654	ANXA1	False	True	0.3201904859762584
5667	8826	chr4	24539150	24539150	DHX15	True	False	0.3613590483745922
5668	8827	chr22	41580689	41580689	PMM1	True	False	0.29066267729728124
5679	8848	chr13	37000780	37000780	EXOSC8	True	False	0.15247928254269213
5689	8864	chr22	41621043	41621043	DESI1	True	False	0.2178130134486411
5707	8893	chr9	76441666	76441666	GCNT1	False	True	0.7009031868041683
5711	8897	chr9	33025273	33025273	DNAJA1	True	False	0.09470980098000138
5712	8898	chr20	35699272	35699272	ROMO1	True	False	0.4578041523758784
5718	8911	chr9	75890673	75890673	PCSK5	False	True	0.4528629172027038
5725	8920	chr4	5051480	5051480	STK32B	False	True	0.3942598769359068
5748	8964	chr21	25735673	25735673	ATP5PF	True	False	0.13960119315213504
5751	8972	chr19	1988569	1988569	BTBD2	True	False	0.5289992953185522
5758	8986	chr13	113304932	113304932	LAMP1	True	False	0.37436058882201684
5793	9040	chr14	100019382	100019382	EVL	False	True	0.7102402030256777
5799	9052	chr8	85663039	85663039	REXO1L1P	False	True	
5805	9060	chr5	32174319	32174319	GOLPH3	True	False	0.214967965428478
5807	9064	chr15	68277745	68277745	FEM1B	True	False	0.22792480381847988
5841	9110	chr13	113584753	113584753	TFDP1	True	False	0.41813704058315676
5843	9112	chr5	57173948	57173948	GPBP1	True	False	0.07949235275968113
5880	9175	chr13	46052746	46052746	ZC3H13	False	True	0.17236304299289149
5885	9189	chr4	16507227	16507227	LDB2	False	True	0.7294959078800202
5946	9296	chr9	7799778	7799778	DMAC1	True	False	0.4406953342879383
5961	9327	chr2	264869	264869	ACP1	True	False	0.2336209698717032
5962	9328	chr13	77327094	77327094	MYCBP2	True	False	0.23630902852451593
6017	9403	chr14	55675050	55675050	KTN1	True	False	0.44171066288120714
6018	9404	chr6	34426067	34426067	RPS10	True	False	0.5210718244736152
6066	9479	chr11	60855950	60855950	PTGDR2	False	True	0.3029125294812481
6068	9482	chr19	1021179	1021179	TMEM259	True	False	0.29147183372714147
6072	9488	chr11	59615774	59615774	OSBP	True	False	0.17482854022059133
6132	9592	chr5	35856891	35856891	IL7R	False	True	0.4420629547529269
6150	9622	chr5	86617956	86617956	COX7C	True	False	0.2522187514796759
6168	9652	chr22	19953787	19953787	COMT	True	False	0.3263979490337584
6178	9668	chr9	135961373	135961373	UBAC1	True	False	0.42886215716466136
6183	9682	chr15	74938073	74938073	COX5A	True	False	0.16425964044665603
6185	9684	chr10	104254194	104254194	GSTO1	True	False	0.28303194636289064
6194	9703	chr19	3762682	3762682	MRPL54	True	False	0.3229716268442452
6199	9708	chr8	97644184	97644184	MTDH	True	False	0.2179074626352535
6206	9716	chr10	100286378	100286378	BLOC1S2	True	False	0.3379359009377536
6245	9784	chr11	58579063	58579063	ZFP91	True	False	0.1916074578307553
6257	9808	chrX	130171962	130171962	RAB33A	False	True	0.1999433865866283
6260	9811	chr19	4670342	4670342	MYDGF	True	False	0.5440419550042159
6262	9816	chr6	36594362	36594362	SRSF3	True	False	0.2965519423333664
6268	9822	chr2	3517747	3517747	ADI1	True	False	0.27665517535072454
6281	9846	chr6	69706160	69706160	NPM1P37	False	True	0.6209827646764945
6313	9907	chr5	111224384	111224384	CAMK4	False	True	0.35228826729313706
6332	9940	chr19	10403542	10403542	CDC37	True	False	0.24108293555751134
6344	9960	chr13	42574152	42574152	TNFSF11	False	True	0.5103232734200346
6348	9967	chr20	40689236	40689236	MAFB	False	True	0.8
6360	9986	chr13	102597005	102597005	TPP2	True	False	0.26450926742585407
6364	9992	chr10	91220663	91220663	PCGF5	True	False	0.2564388103807782
6386	10023	chr19	14419337	14419337	DDX39A	True	False	0.35336808336607783
6409	10071	chr22	20124139	20124139	RANBP1	True	False	0.3825054038458228
6423	10092	chr8	80030259	80030259	MRPS28	True	False	0.2163055451806589
6429	10100	chr21	31659709	31659709	SOD1	True	False	0.3219107450330489
6436	10110	chr8	69834978	69834978	SLCO5A1	False	True	0.30162811596000877
6461	10146	chr15	74461102	74461102	UBL7	True	False	0.31674241048312873
6473	10163	chr3	32570693	32570693	DYNC1LI1	True	False	0.21381328212650105
6524	10229	chrX	77899468	77899468	COX7B	True	False	0.17229751484520334
6575	10293	chr8	101205287	101205287	ZNF706	True	False	0.24920709098001956
6615	10342	chr20	45791954	45791954	DNTTIP1	True	False	0.30242352235024694
6619	10346	chr2	3575358	3575358	RPS7	True	False	0.17520077345428897
6628	10357	chr14	22589224	22589224	DAD1	True	False	0.07689390708505758
6636	10367	chr6	44313347	44313347	AARS2	False	True	0.4880092617646615
6639	10376	chr8	100952983	100952983	YWHAZ	True	False	0.15572538798919938
6669	10423	chr11	46700619	46700619	ARHGAP1	True	False	0.20331731993772664
6702	10472	chr15	68792248	68792248	ANP32A	True	False	0.1687504481862929
6710	10484	chr11	33016164	33016164	DEPDC7	False	True	0.6570332486832906
6713	10487	chr9	124861936	124861936	RPL35	True	False	0.257338578592316
6719	10497	chr10	101626899	101626899	FBXW4	True	False	0.4325728541055407
6727	10516	chr9	134068026	134068026	BRD3	True	False	0.26011888475497186
6737	10532	chr20	45881227	45881227	ZSWIM1	False	True	0.2196563347363155
6744	10542	chr5	79689836	79689836	CMYA5	False	True	0.5179778792553341
6745	10543	chr11	59669037	59669037	PATL1	True	False	0.30525451089966793
6749	10547	chr10	124942123	124942123	ZRANB1	True	False	0.6248047285795105
6783	10608	chr11	14643804	14643804	PDE3B	False	True	0.1943441093417028
6795	10623	chr9	109119947	109119947	TMEM245	True	False	0.1199510800411383
6799	10629	chr13	25301524	25301524	NUP58	True	False	0.10947468488036444
6800	10630	chr20	49188334	49188334	STAU1	True	False	0.38212376399121323
6803	10635	chr6	69745871	69745871	GAPDHP42	False	True	0.6587621857478841
6805	10638	chr6	44247866	44247866	HSP90AB1	True	False	0.06188143649442218
6814	10658	chr8	98045548	98045548	RPL30	True	False	0.14815580570895026
6826	10674	chr9	86282538	86282538	ISCA1	True	False	0.14151714095218101
6843	10710	chr12	9607916	9607916	KLRB1	False	True	0.5209595919612585
6871	10763	chr10	119080817	119080817	EIF3A	True	False	0.20566994978237751
6876	10772	chr17	39992998	39992998	PSMD3	True	False	0.8
6883	10782	chr11	60056665	60056665	MS4A3	False	True	0.5296757389148493
6909	10824	chr21	44350163	44350163	TRPM2	False	True	0.3300666895049237
6929	10851	chr13	21140119	21140119	SAP18	True	False	0.13046533118149353
6953	10901	chr18	35290232	35290232	ZSCAN30	False	True	0.2577181655431794
6960	10914	chr20	62796473	62796473	MRGBP	True	False	0.400900725409048
6968	10925	chr15	74695936	74695936	EDC3	True	False	0.2549780066070811
6970	10929	chr20	62805886	62805886	OGFR	True	False	0.4210454941654031
6985	10958	chr4	48906798	48906798	OCIAD2	False	True	0.17627627610045357
7016	10999	chr10	102056173	102056173	ARMH3	False	True	0.4626827837662761
7036	11032	chr10	97426191	97426191	PGAM1	True	False	0.16359166717717888
7042	11046	chrX	153724066	153724066	BCAP31	True	False	0.27073787712084396
7044	11048	chr13	111115277	111115277	ARHGEF7	False	True	0.22082922898322077
7066	11082	chr1	1478026	1478026	ATAD3B	False	True	0.4563815191075553
7150	11193	chr21	29939996	29939996	GRIK1	False	True	0.3588035809627587
7173	11220	chr8	100150625	100150625	POLR2K	True	False	0.2518363128144176
7196	11250	chr6	70667883	70667883	SMAP1	True	False	0.2769434706108963
7201	11255	chr19	16078852	16078852	TPM4	True	False	0.13127858668190145
7209	11265	chr22	20320060	20320060	DGCR6L	True	False	0.21020644696256308
7218	11288	chr2	26244672	26244672	HADHA	True	False	0.1309600889603292
7272	11377	chr18	47176364	47176364	IER3IP1	True	False	0.4996738152620641
7285	11401	chr17	40219304	40219304	WIPF2	False	True	0.43022093632056
7292	11414	chrX	153794659	153794659	SSR4	True	False	0.23328818263234352
7310	11453	chr20	3786740	3786740	CENPB	True	False	0.530256543599773
7328	11481	chr2	5692384	5692384	SOX11	False	True	0.42711138706438334
7339	11496	chr17	19977828	19977828	AKAP10	True	False	0.27949120976378705
7342	11504	chr11	62573860	62573860	EEF1G	True	False	0.21850594210198748
7359	11529	chr14	23034890	23034890	PSMB5	True	False	0.4154374570056058
7368	11545	chr14	23095505	23095505	C14orf119	True	False	0.3121312336990854
7387	11578	chr3	13073429	13073429	IQSEC1	True	False	0.22184092849880355
